#	name	ON	OFF	origin	effector	applications	references		
transcriptional switches
1	ABA	yes	no	Arabidopsis thaliana, yeast	abscisic acid	gene therapy, experimental tool to control diverse cellular activities in vivo	[19]		
2	AIR	yes	no	Aspergillus nidulans	acetaldehyde	gas-adjustable transgene expression, biopharmaceutical manufacturing	[20]		
3	ART	yes	no	Chlamydia pneumoniae	L-arginine	biopharmaceutical manufacturing, gene therapy	[21]		
4	BEARON,BEAROFF	yes	yes	Campylobacter jejuni	bile acid	gene- and cell-based therapies	[22]		
5	BirA-tTA	no	yes	Escherichia coli	biotin (vitamin H)	biopharmaceutical manufacturing, cell therapy	[23]		
6	BIT	yes	no	Escherichia coli	biotin (vitamin H)	gene therapy, tissue engineering, biopharmaceutical manufacturing	[24]		
7	Cry2-CIB1	yes	no	Arabidopsis thaliana, yeast	blue light	protein translocation, transcription control, Cre-mediated DNA recombination using light	[25]	BBB	BBB link
8	CTA, CTS	yes	yes	Comamonas testosteroni, Homo sapiens	food additives (benzoate, vanillate)	gene- and cell-based therapy	[26]		
9	cTA, rcTA	yes	yes	Pseudomonas putida	cumate	regulation of gene expression level and duration	[27]		
10	Ecdysone	yes	no	Homo sapiens, Drosophila melanogaster	Ecdysone	transient inducible expression, gene therapy	[28]		
11	EcR:RXR	yes	no	Homo sapiens, Locusta migratoria	ecdysone	ligand-dependent induction of reporter gene, gene therapy	[29]		
12	electro-genetic	yes	no	Aspergillus nidulans	electricity, acetaldehyde	electric power-adjustable transcription control; mammalian cell-based control of microelectronic circuits	[30]		
13	ER-p65-ZF	yes	no	Homo sapiens, yeast	4,40-dyhydroxybenzil	generating a wide array of orthogonal gene switches	[31]		
14	E.REX	yes	yes	Escherichia coli	erythromycin	gene therapy, tissue engineering, in vivo gene-function analyses, drug discovery, biopharmaceutical manufacturing	[32]		
15	EthR	no	yes	Mycobacterium tuberculosis	2-phenylethyl-butyrate	drug discovery	[33]		
16	GAL4-ER	yes	yes	yeast, Homo sapiens	oestrogen, 4-hydroxytamoxifen	regulating heterologous genes, identifying Fos (oncogene) targets	[34]		
17	GAL4-hPR	yes	yes	yeast, Homo sapiens	mifepristone	positive and negative regulation of gene expression, also in vivo	[35,36]	CROSS	https://www.ncbi.nlm.nih.gov/pubmed/24778047
18	GAL4-Raps	yes	yes	yeast, Homo sapiens	rapamycin and rapamycin derivatives	targeted gene expression control	[37]		
19	GAL4-TR	yes	no	yeast, Homo sapiens	thyroid hormone	study nuclear receptor signalling	[38]		
20	GyrB	yes	yes	Escherichia coli	coumermycin, novobiocin	rapid regulation of gene expression	[39]		
21	HEA-3	yes	no	Homo sapiens	4-hydroxytamoxifen	gene therapy	[40]		
22	Intramer	no	yes	synthetic SELEX-derived aptamers	theophylline	controlling transgene expression, construction of complex gene networks	[41]		
23	LacI	yes	no	Escherichia coli	IPTG	reversible regulation of gene expression, predictable levels of de-repressed gene expression	[42, 43, 44, 45, 46]
24	LAD	yes	no	Arabidopsis thaliana, yeast	blue light	light-controlled gene expression regulation; protein hetero- and homo-dimerization induced by light	[47]
25	LightOn	yes	no	Neurospora crassa, yeast	blue light	light-switchable transcription control	[48]		
26	NICE	yes	yes	Arthrobacter nicotinovorans	6-hydroxynicotine	therapeutic cell engineering, biopharmaceutical manufacturing	[49]		
27	PPAR*	yes	no	Homo sapiens	rosiglitazone	gene therapy	[50]		
28	PEACE	no	yes	Pseudomonas putida	flavonoids (e.g. phloretin)	biopharmaceutical manufacturing, gene- and cell-based therapies	[51]		
29	PIT	yes	yes	Streptomyces coelicolor	pristinamycin I, virginiamycin	compatible with the Tet-OFF system, thus two different gene activities can be controlled in the same cell	[12]		
30	REDOX	no	yes	Streptomyces coelicolor	NADH	process development, biopharmaceutical	[52]		
31	QuoRex	yes	yes	Streptomyces coelicolor, pristinaespiralis	butyrolactones (e.g. SCB1)	small molecule-adjustable gene control systems for clinical application	[53]		
32	ST-TA	yes	yes	Streptomyces coelicolor, Escherichia coli, Herpes simplex	g-butyrolactone, tetracycline	Design of therapeutic gene circuits for gene and cell-based therapies	[54]		
33	TIGR	no	yes	Streptomyces albus	temperature	temperature-inducible gene regulation	[55]		
34	TraR	yes	no	Agrobacterium tumefaciens	N-(3-oxo-octanoyl)homoserine lactone	versatile gene expression control	[56]		
35	TET-OFF, TET-ON	yes	yes	Escherichia coli, Herpes simplex	tetracycline, doxycycline	reversible and tight gene expression control	[11,57]		
36	TRT	yes	no	Chlamydia trachomatis	L-tryptophan	synthetic bidirectional communication between mammalian cells	[58]		
37	UREX	yes	no	Deinococcus radiodurans	uric acid	self-sufficient control of pathologic metabolites, gene-and cell-based therapies	[59]		
38	VAC	yes	yes	Caulobacter crescentus	vanillic acid	biopharmaceutical manufacturing, gene- and cell-based therapies	[60]		
39	ZF-ER, ZF-RXR/EcR	yes	yes	Mus musculus, Homo sapiens, Drosophila melanogaster	4-hydroxytamoxifen, ponasterone-A	spatio-temporal control of gene expression, genomic and proteomic research, gene therapy	[61]		
40	ZF-Raps	yes	no	Homo sapiens	rapamycin	gene expression control, gene therapy	[62]		
