#	name	ON	OFF	origin	effector	applications	references		
transcriptional switches
1	ABA	yes	no	Arabidopsis thaliana, yeast	abscisic acid	gene therapy, experimental tool to control diverse cellular activities in vivo	[19]		
2	AIR	yes	no	Aspergillus nidulans	acetaldehyde	gas-adjustable transgene expression, biopharmaceutical manufacturing	[http://sci-hub.cc/10.1038/nbt1021]		
3	ART	yes	no	Chlamydia pneumoniae	L-arginine	biopharmaceutical manufacturing, gene therapy	[21]		
4	BEARON,BEAROFF	yes	yes	Campylobacter jejuni	bile acid	gene- and cell-based therapies	[http://sci-hub.cc/10.1016/j.ymben.2013.11.003]		
5	BirA-tTA	no	yes	Escherichia coli	biotin (vitamin H)	biopharmaceutical manufacturing, cell therapy	[http://sci-hub.cc/10.1093/nar/gkm466]		
6	BIT	yes	no	Escherichia coli	biotin (vitamin H)	gene therapy, tissue engineering, biopharmaceutical manufacturing	[http://sci-hub.cc/10.1016/j.ymben.2008.12.001]		
7	Cry2-CIB1	yes	no	Arabidopsis thaliana, yeast	blue light	protein translocation, transcription control, Cre-mediated DNA recombination using light	[25]	BBB	BBB link
8	CTA, CTS	yes	yes	Comamonas testosteroni, Homo sapiens	food additives (benzoate, vanillate)	gene- and cell-based therapy	[http://sci-hub.cc/10.1093/nar/gku545]		
9	cTA, rcTA	yes	yes	Pseudomonas putida	cumate	regulation of gene expression level and duration	[http://sci-hub.cc/10.1186/1472]		
10	Ecdysone	yes	no	Homo sapiens, Drosophila melanogaster	Ecdysone	transient inducible expression, gene therapy	[http://sci-hub.cc/10.1073/pnas.93.8.3346]		
11	EcR:RXR	yes	no	Homo sapiens, Locusta migratoria	ecdysone	ligand-dependent induction of reporter gene, gene therapy	[http://sci-hub.cc/10.1111/j]		
12	electro-genetic	yes	no	Aspergillus nidulans	electricity, acetaldehyde	electric power-adjustable transcription control; mammalian cell-based control of microelectronic circuits	[http://sci-hub.cc/10.1093/nar]		
13	ER-p65-ZF	yes	no	Homo sapiens, yeast	4,40-dyhydroxybenzil	generating a wide array of orthogonal gene switches	[http://sci-hub.cc/10.1002/bit.24807]		
14	E.REX	yes	yes	Escherichia coli	erythromycin	gene therapy, tissue engineering, in vivo gene-function analyses, drug discovery, biopharmaceutical manufacturing	[http://sci-hub.cc/10.1038/nbt731]		
15	EthR	no	yes	Mycobacterium tuberculosis	2-phenylethyl-butyrate	drug discovery	[http://sci-hub.cc/10.1073/pnas]		
16	GAL4-ER	yes	yes	yeast, Homo sapiens	oestrogen, 4-hydroxytamoxifen	regulating heterologous genes, identifying Fos (oncogene) targets	[http://sci-hub.cc/10.1073/pnas.90.5.1657]		
17	GAL4-hPR	yes	yes	yeast, Homo sapiens	mifepristone	positive and negative regulation of gene expression, also in vivo	[35, 36]	CROSS	https://www.ncbi.nlm.nih.gov/pubmed/24778047
18	GAL4-Raps	yes	yes	yeast, Homo sapiens	rapamycin and rapamycin derivatives	targeted gene expression control	[http://sci-hub.cc/10.1073/pnas.94.15.7825]		
19	GAL4-TR	yes	no	yeast, Homo sapiens	thyroid hormone	study nuclear receptor signalling	[http://sci-hub.cc/10.1074/jbc.272.20.13060]		
20	GyrB	yes	yes	Escherichia coli	coumermycin, novobiocin	rapid regulation of gene expression	[http://sci-hub.cc/10.1089/104303403322542266]		
21	HEA-3	yes	no	Homo sapiens	4-hydroxytamoxifen	gene therapy	[http://sci-hub.cc/10.1016/S1525-0016(02]		
22	Intramer	no	yes	synthetic SELEX-derived aptamers	theophylline	controlling transgene expression, construction of complex gene networks	[http://sci-hub.cc/10.1093/nar/gkr829]		
23	LacI	yes	no	Escherichia coli	IPTG	reversible regulation of gene expression, predictable levels of de-repressed gene expression	[http://sci-hub.cc/10.1093/nar/19.17.4647, 43, 44, http://sci-hub.cc/10.1016/0092, 46]
24	LAD	yes	no	Arabidopsis thaliana, yeast	blue light	light-controlled gene expression regulation; protein hetero- and homo-dimerization induced by light	[http://sci-hub.cc/10.1038/nbt.1569]
25	LightOn	yes	no	Neurospora crassa, yeast	blue light	light-switchable transcription control	[http://sci-hub.cc/10.1038/nmeth.1892]		
26	NICE	yes	yes	Arthrobacter nicotinovorans	6-hydroxynicotine	therapeutic cell engineering, biopharmaceutical manufacturing	[http://sci-hub.cc/10.1093/nar/gni107]		
27	PPAR*	yes	no	Homo sapiens	rosiglitazone	gene therapy	[http://sci-hub.cc/10.1016/j.ymthe.2004.02.013]		
28	PEACE	no	yes	Pseudomonas putida	flavonoids (e.g. phloretin)	biopharmaceutical manufacturing, gene- and cell-based therapies	[http://sci-hub.cc/10.1073/pnas.0901501106]		
29	PIT	yes	yes	Streptomyces coelicolor	pristinamycin I, virginiamycin	compatible with the Tet-OFF system, thus two different gene activities can be controlled in the same cell	[http://sci-hub.cc/10.1038/81208]		
30	REDOX	no	yes	Streptomyces coelicolor	NADH	process development, biopharmaceutical	[http://sci-hub.cc/10.1016/j.ymben.2005.12.004]		
31	QuoRex	yes	yes	Streptomyces coelicolor, pristinaespiralis	butyrolactones (e.g. SCB1)	small molecule-adjustable gene control systems for clinical application	[http://sci-hub.cc/10.1093/nar/gng071]		
32	ST-TA	yes	yes	Streptomyces coelicolor, Escherichia coli, Herpes simplex	g-butyrolactone, tetracycline	Design of therapeutic gene circuits for gene and cell-based therapies	[http://sci-hub.cc/10.1093/nar/gkt405]		
33	TIGR	no	yes	Streptomyces albus	temperature	temperature-inducible gene regulation	[55]		
34	TraR	yes	no	Agrobacterium tumefaciens	N-(3-oxo-octanoyl)homoserine lactone	versatile gene expression control	[http://sci-hub.cc/10.1038/sj.embor]		
